Month,Year,Corporate Entity,Pipeline Name,Key Point, Total Nominations (1000 m3/d) ,Apportionment percent
1,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,43,19%
2,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,74,52%
3,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,106,65%
4,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,39,10%
5,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,29,0%
6,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,2%
7,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,0%
8,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,0%
9,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,49,20%
10,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,36,2%
11,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,43,14%
12,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,46,34%
1,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,13%
2,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,5%
3,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,35,0%
4,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,46,13%
5,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,49,16%
6,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,67,37%
7,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,61,31%
8,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,15%
9,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,60,30%
10,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,67,42%
11,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,61,29%
12,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,76,47%
1,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,47,15%
2,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,0%
3,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,33,0%
4,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,5%
5,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,0%
6,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,41,0%
7,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,38,0%
8,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,36,0%
9,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,28%
10,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,31%
11,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,55,10%
12,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,40,0%
1,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,28,0%
2,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,40,5%
3,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,52,8%
4,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,38,5%
5,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,32,0%
6,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,8%
7,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,55,9%
8,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,64,17%
9,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,15%
10,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,68,30%
11,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,63,21%
12,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,48,0%
1,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,7%
2,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,47,0%
3,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,9%
4,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,44,0%
5,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,73,38%
6,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,68,26%
7,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,80,37%
8,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,78,33%
9,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,92,51%
10,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,113,57%
11,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,93,46%
12,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,84,43%
1,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,116,60%
2,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,125,65%
3,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,62%
4,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,116,58%
5,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,105,58%
6,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,124,69%
7,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,144,72%
8,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,73%
9,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,163,74%
10,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,134,67%
11,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,68%
12,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,75%
1,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,146,72%
2,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,164,73%
3,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,69%
4,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,120,61%
5,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,136,66%
6,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,141,68%
7,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,166,73%
8,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,69%
9,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,67%
10,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,144,71%
11,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,161,73%
12,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,147,70%
1,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,161,72%
2,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,156,71%
3,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,139,66%
4,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,67%
5,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,125,62%
6,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,131,63%
7,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,128,74%
8,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,69%
9,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,143,74%
10,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,74%
11,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,141,67%
12,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,72%
1,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,68%
2,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,70%
3,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,69%
4,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,64%
5,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,68%
6,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,69%
7,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,153,71%
8,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,71%
9,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,68%
10,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,149,69%
11,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,143,68%
12,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,150,67%
1,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,150,72%
2,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,66%
3,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,124,62%
4,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,124,59%
5,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,118,54%
6,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,64,22%
7,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,65,24%
8,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,74,31%
9,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,72,36%
10,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,74,30%
11,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,63,19%
12,2015,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,54,18%
1,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,63,23%
2,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,56,11%
3,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,54,9%
4,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,60,15%
5,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,59,13%
6,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,62,18%
7,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,53,1%
8,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,57,12%
9,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,66,19%
10,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,59,24%
11,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,59,18%
12,2016,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,21%
1,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,61,22%
2,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,71,27%
3,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,63,25%
4,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,75,37%
5,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,13%
6,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,57,17%
7,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,66,22%
8,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,56,15%
9,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,66,16%
7,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,10.6,0%
8,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,10.2,0%
9,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,12.7,0%
10,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,9,0%
11,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,9.5,0%
12,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,15,0%
1,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,12.2,0%
2,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,14.6,0%
3,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,15,0%
4,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,13.2,0%
5,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,13.2,0%
6,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,10.2,0%
7,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,14,0%
8,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,14.2,0%
9,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,13.2,3%
10,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,12.6,0%
11,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,11.1,0%
12,2015,Kinder Morgan,Cochin,Ft. Saskatchewan,13.7,0%
1,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,13.7,0%
2,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,12,0%
3,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,13,0%
4,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,12.7,0%
5,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,12.8,0%
6,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,14.9,0%
7,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,15.1,6%
8,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,14.5,0%
9,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,14.3,5%
10,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,14.5,10%
11,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,15.1,5%
12,2016,Kinder Morgan,Cochin,Ft. Saskatchewan,13.9,0%
7,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",16.3,0%
8,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",16.9,10%
9,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",19,0%
10,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",28.8,0%
11,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",18.1,0%
12,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",35.2,0%
1,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",44.6,0%
2,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",69.4,2%
3,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",68.8,0%
4,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",66.6,0%
5,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",65.2,0%
6,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",63,0%
7,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",66.2,0%
8,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",62.9,0%
9,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",82.5,6%
10,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",82.8,3%
11,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",84.5,3%
12,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",85.5,6%
1,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",98.5,14%
2,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",99.4,13%
3,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",370.1,77%
4,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",846,91%
5,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",728.3,88%
6,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",638.2,87%
7,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",728.8,88%
8,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",729.7,88%
9,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",641.3,87%
10,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",530.5,84%
11,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",739.3,89%
12,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",799.8,90%
1,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba","1,271.50",93%
2,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba","1,323.30",93%
3,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba","1,204.00",93%
4,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba","1,316.50",94%
5,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",388,78%
6,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",222.6,62%
7,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",186.7,56%
8,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",203.4,59%
9,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",301.3,72%
10,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",297.2,72%
11,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",279.8,72%
12,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",284.1,71%
1,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",204.2,59%
2,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",103.5,17%
3,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",196.6,57%
4,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba","1,050.60",92%
5,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",198.4,57%
6,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",205.2,59%
7,2014,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",101.6,17%
