LMS - INT03,"October 07, 2017"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,39177
Liability Run Date:,"October 07, 2017"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.58"
Number of Licensees at or over Industry Threshold:,"424"
Number of Licensees below Industry Threshold:,"334"
Total Number of Licensees Evaluated:,"758"
Total Number of Licences/Approvals Evaluated:,"347,046"
Total Deemed Assets:,"$138,740,197,514.27"
Total Deemed Liabilities:,"$30,301,930,009.60"
Total Estimated Liabilities:,"$30,986,396,295.60"
Total LMR Security Held:,"$265,726,614.66"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"235","1,465","$0.00","$91,282,886.27","0.00"
0.01 - 0.49,"34","2,717","$24,810,630.65","$239,894,139.00","0.10"
0.50 - 0.99,"65","4,925","$391,226,831.57","$514,049,425.91","0.76"
1.00 - 1.49,"125","28,548","$2,597,104,528.62","$2,079,634,182.20","1.25"
1.50 - 1.99,"55","41,505","$6,192,430,479.20","$3,552,775,908.97","1.74"
2.00 - 2.99,"80","107,418","$18,703,552,153.28","$8,077,248,441.13","2.32"
3.00 - 3.99,"46","108,760","$31,305,533,512.74","$9,560,496,464.78","3.27"
4.00 - 4.99,"27","9,701","$4,082,748,943.63","$932,800,208.12","4.38"
5.00 - 5.99,"14","4,076","$2,193,372,619.21","$410,795,541.15","5.34"
6.00 - 6.99,"19","4,306","$5,570,203,815.60","$861,364,920.19","6.47"
7.00 - 7.99,"9","1,947","$1,146,200,415.49","$151,756,750.00","7.55"
8.00 - 8.99,"3","559","$546,844,687.11","$64,103,837.00","8.53"
9.00 - 9.99,"7","7,467","$8,468,425,535.99","$902,048,669.23","9.39"
10.00 or >  ,"39","23,652","$57,517,743,361.18","$2,863,678,635.65","20.09"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.42"
"1195714 Alberta Ltd.  (A1R7)",,"18.28"
"1288131 Alberta Ltd.  (A57K)",,"3.47"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1354465 Alberta Ltd.  (A5G7)",*,"0.94"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.74"
"1509178 Alberta Ltd.  (A5XP)",*,"1.14"
"1822916 Alberta Ltd.  (A6X3)",,"2.30"
"1852797 Alberta ULC  (A73D)",*,"1.00"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.31"
"391138 Alberta Ltd.  (0PE6)",,"2.68"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.03"
"611890 Alberta Inc.  (A5EF)",,"4.97"
"840586 Alberta Ltd.  (0D6B)",,"1.74"
"935821 Alberta Ltd.  (A2YM)",*,"1.04"
"97837 Resources Ltd.  (0W01)",*,"0.94"
"979968 Alberta Ltd.  (A6N9)",*,"2.33"
"ACCEL Energy Canada Limited  (A7GH)",,"2.57"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.24"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"25.95"
"Aeneid Exploration Inc.  (A79H)",,"4.75"
"Aeraden Energy Corp.  (A79A)",,"1.23"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",,"2.57"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.12"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"Altagas Holdings Inc.  (A0WA)",,"24.18"
"AltaGas Ltd.  (A0TK)",,"3.33"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.81"
"Altura Energy Inc.  (A54P)",,"9.02"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.68"
"Anegada Oil Corp.  (A789)",*,"2.56"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"Anterra Energy Inc.  (A2LN)",*,"0.61"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.41"
"Aqua Terra Water Management Inc.  (0M7P)",*,"1.08"
"ARC Resources Ltd.  (0G30)",,"2.03"
"Area 2 Energy Ltd.  (A79G)",,"1.00"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.74"
"Artis Exploration Ltd.  (A77W)",,"9.85"
"Ascensun Oil And Gas Ltd.  (A6MY)",*,"1.04"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"6.96"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"0.69"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.81"
"Athabasca Oil Corporation  (A28L)",,"16.54"
"Avalon Energy Ltd.  (0KX6)",,"1.42"
"Axiom Oil and Gas Inc.  (A71K)",,"1.32"
"Baccalieu Energy Inc.  (A73C)",,"6.49"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.18"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.99"
"Barnwell of Canada, Limited  (0J66)",,"1.17"
"Bashaw Oil Corp.  (A6Y8)",*,"0.92"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.06"
"Baytex Energy Ltd.  (0RL9)",,"3.37"
"BDJ Energy Inc.  (A611)",,"22.58"
"Bear Hills Industries Ltd.  (0MM5)",,"1.63"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.63"
"Beatton Energy Inc.  (A4XG)",*,"1.00"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.16"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.50"
"Benjaka Exploration Inc.  (A1C3)",*,"0.94"
"Bering Exploration Company, ULC  (A2XA)",,"6.92"
"Bernum Petroleum Ltd.  (A5D6)",,"2.04"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Big Lake Energy Ltd.  (A67Z)",*,"0.81"
"Birchcliff Energy Ltd.  (A12R)",,"11.74"
"Birchill Canada Corp.  (A6WF)",,"3.97"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"4.17"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.86"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"3.90"
"Blaze Energy Ltd.  (0TX1)",*,"1.05"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.58"
"Blue Star Energy Inc.  (A774)",*,"5.27"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.81"
"Bonavista Energy Corporation  (A5RX)",,"4.13"
"Bonterra Energy Corp.  (0XZ4)",,"2.03"
"Border Petroleum Limited  (A562)",*,"0.60"
"Boulder Energy Ltd.  (A73X)",,"3.76"
"Bounty Developments Ltd.  (0HP8)",*,"1.17"
"Bow River Energy Ltd.  (A6N8)",,"1.28"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"1.01"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"0.85"
"Broadview Energy Ltd.  (A5TA)",,"7.10"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"2.75"
"Butte Energy Inc.  (A61Z)",,"1.55"
"C Group Energy Inc.  (A6YN)",,"2.17"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"2.00"
"Caiterra International Energy Corporation  (A6AX)",*,"0.94"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",,"1.39"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"1.08"
"Caltex Resources Ltd.  (A60R)",,"4.72"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
"Canadian Coastal Resources Ltd.  (0PD1)",,"1.00"
"Canadian Energy Services & Technology Corp.  (A7C1)",,"5.75"
"Canadian Imperial Venture Corp.  (A73J)",*,"1.00"
"Canadian International Oil Operating Corp.  (A5T7)",,"35.29"
"Canadian Natural Resources Limited  (0HE9)",,"3.04"
"Canadian Natural Upgrading Limited  (A7K5)",,"5.13"
"Canadian Oil & Gas International Inc.  (A6L2)",,"0.53"
"Canadian-Montana Pipe Line Corporation  (0958)",*,"1.00"
"Canamax Energy Ltd.  (A6LB)",,"4.24"
"Cancen Oil Processors Inc.  (A214)",*,"1.60"
"Canden Resources Ltd.  (0MH8)",*,"1.00"
"Cangild Resources Ltd.  (0P42)",*,"1.00"
"Cansearch Resources Ltd.  (0PW8)",,"2.71"
"Canstone Energy Ltd.  (A69G)",,"1.44"
"Canuck North Resources Ltd.  (A60G)",,"2.98"
"Canyon Oil & Gas Corporation  (0L3H)",,"1.68"
"Capital Oil Ltd.  (A60Z)",*,"0.54"
"Cardinal Energy Ltd.  (A6A7)",,"2.11"
"Carrick Petroleum Inc.  (A6AM)",,"9.54"
"Catapult Environmental Inc.  (A73Y)",*,"1.00"
"Cec North Star Energy Ltd.  (A6FB)",*,"1.61"
"Cedar Creek Energy Ltd.  (A7E1)",*,"1.22"
"Cenovus Energy Inc.  (A5D4)",,"2.29"
"Cenovus FCCL Ltd.  (A2EZ)",,"31.41"
"Cenovus TL ULC  (A629)",*,"1.00"
"Centennial Petroleum Company Ltd.  (0DL9)",,"2.54"
"Cequence Energy Ltd.  (A1ME)",,"6.05"
"Certus Oil And Gas Inc.  (A7J4)",,"1.20"
"Challenger Development Corp.  (0CX7)",,"1.77"
"Changhua Energy Canada Ltd.  (A63L)",,"3.02"
"Check Energy Ltd.  (A6M0)",*,"1.00"
"Chemnor Industries Ltd  (0BR8)",*,"1.03"
"Chevron Canada Limited  (0045)",*,"20.08"
"Chinook Energy Inc.  (A5LF)",*,"1.04"
"ChroMedX Corp.  (A2C1)",*,"2.89"
"Cinabar Enterprises Ltd.  (0W11)",,"0.00"
"City Of Medicine Hat  (0150)",,"1.05"
"Clampett Energy Ltd.  (A5J8)",*,"1.02"
"Clean Harbors Exploration Services, ULC  (0PH4)",,"0.00"
"Clean Harbors Industrial Services Canada, Inc.  (A619)",*,"1.67"
"Clearbrook Resources Inc.  (A5G9)",,"1.23"
"Clearview Resources Ltd.  (A5RA)",,"2.93"
"Cleo Energy Corp.  (A7BY)",,"1.26"
"CNOOC Canada Energy Ltd.  (A71M)",,"1.00"
"CNPC International (Canada) Ltd.  (0HZ2)",*,"1.00"
"Coalspur Mines (Operations) Ltd.  (A5M1)",,"1.00"
"Coastal Resources Limited  (0PR1)",,"1.01"
"Cold Creek Resources Ltd.  (A0AZ)",,"1.67"
"Cona Resources Ltd.  (A5K1)",*,"1.00"
"Concerto Resources Ltd.  (0LW8)",,"0.11"
"Condor Canada Petroleum Inc.  (A2E5)",*,"1.00"
"Connacher Oil And Gas Limited  (0A9H)",,"22.72"
"Connaught Oil & Gas Ltd.  (A5E2)",*,"1.00"
"ConocoPhillips Canada Operations ULC  (0XL9)",*,"0.99"
"ConocoPhillips Canada Resources Corp.  (A5G3)",,"15.85"
"Contour Energy Ltd.  (0GY1)",*,"0.86"
"Convega Energy Ltd.  (0E9R)",,"1.50"
"Coral Exploration Corporation  (0NF4)",*,"0.80"
"Corex Resources Ltd.  (A2WH)",*,"1.11"
"Corinthian Oil Corp.  (A732)",*,"0.95"
"Corse Energy Corp.  (A6NW)",,"2.87"
"Cortona Energy Ltd.  (A79L)",,"1.75"
"Corval Energy Ltd.  (A6D1)",,"3.77"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.30"
"Crescent Point Energy Corp.  (A2J6)",,"2.45"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.89"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.62"
"Croverro Energy Ltd.  (A5PT)",,"0.77"
"CSV Midstream Solutions Corp.  (A6WG)",,"1.00"
"Cuda Energy Inc.  (A75T)",,"35.92"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.48"
"Dark Warrior Resources Ltd.  (A6AP)",*,"3.77"
"DCP Oil Corp.  (A7DB)",,"30.79"
"Deckland Inc.  (A64K)",,"3.23"
"Deep Well Oil & Gas (alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"1.71"
"Dejour Energy (alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"10.59"
"Deltastream Energy Corporation  (A6YA)",,"4.01"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.44"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Deventa Energy Inc.  (A6JT)",*,"1.03"
"Devon Canada Corporation  (0K29)",*,"11.57"
"Devon NEC Corporation  (0BK8)",*,"1.07"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.50"
"Direct Energy Marketing Limited  (0RC3)",,"2.59"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.68"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"1.00"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"1.63"
"Drakkar Energy Ltd.  (A2RJ)",,"2.96"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"0.96"
"Eagle Energy Inc.  (A794)",,"3.26"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.20"
"Eco-Industrial Business Park Inc.  (A519)",,"1.51"
"Edalis Energy Inc.  (A5F0)",,"1.22"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.04"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"2.08"
"Emerald Lake Energy Ltd.  (A5YB)",,"10.51"
"Encana Corporation  (0026)",,"3.62"
"Ener T Corporation  (0HR9)",,"1.84"
"Enercapita Energy Ltd.  (A73W)",,"2.00"
"Energetic Logistics Services Inc.  (A73E)",*,"1.45"
"Energy Express Canada Corp.  (0LD3)",,"2.72"
"Enerplus Corporation  (A5RD)",,"3.62"
"Eng-Land Energy Ltd.  (0A1H)",*,"0.98"
"Enhance Energy Inc.  (A216)",,"1.33"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"1.72"
"Envolve Energy Services Corp.  (A6P8)",,"15.53"
"Essex Oil Corporation  (A74K)",,"2.14"
"Executive Adventures 2008 Inc.  (A6PA)",,"10.63"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.14"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.24"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.63"
"Far West Energy Corp.  (A6D0)",*,"0.48"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.83"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
"Firenze Energy Ltd.  (A1EZ)",,"2.02"
"Five O Oil & Gas Ltd.  (A598)",*,"0.64"
"Flow-Back Oil & Gas Ltd.  (0F9Y)",,"1.10"
"Forent Energy Ltd.  (0YE6)",,"1.25"
"Forge Oil & Gas Limited  (A76A)",,"5.22"
"Formula Powell Trucking 2006 Ltd.  (A73F)",*,"1.00"
"Fort Calgary Resources Ltd.  (A1JY)",,"1.30"
"Fortaleza Energy Inc.  (A2JL)",*,"1.00"
"Fortune Energy Inc.  (0DM6)",*,"1.22"
"Foxwood Resources Ltd.  (A7BC)",,"1.42"
"Frank O'Sullivan Petroleum Western Ltd.  (0EA3)",,"0.00"
"Free Rein Resources Ltd.  (0KA2)",*,"2.16"
"Freehold Royalties Ltd.  (A68A)",,"1.68"
"G. Herman Group Inc.  (A6DY)",,"0.78"
"G.N.E. Exploration Ltd.  (0JA3)",,"0.00"
"Gain Energy Ltd.  (A7ME)",,"2.67"
"Gamet Resources Ltd.  (A309)",,"1.21"
"Gear Energy Ltd.  (A2JR)",,"2.04"
"Gentra One Resources Inc.  (0EG2)",*,"2.00"
"Geo. B. Ross Holdings Ltd.  (A05H)",*,"1.00"
"Georox Resources Inc.  (A5BH)",,"3.41"
"GEX Resources Ltd.  (0BE8)",*,"1.43"
"GFL Environmental Inc.  (A78P)",*,"1.00"
"Ghost River Resources Inc.  (A7L3)",,"2.02"
"Gibson Energy ULC  (0195)",*,"1.42"
"GL Petroleum Corporation  (A70K)",*,"1.00"
"Glen Isle Exploration Ltd.  (0AA1)",*,"1.00"
"Glencoe Resources Ltd.  (0NM3)",,"1.12"
"Glenogle Energy Inc.  (A52E)",,"3.60"
"Golden Spike Energy Inc.  (A0M1)",,"1.03"
"Goldenkey Oil Inc.  (A2K7)",,"3.47"
"Grand Rapids Petroleum Ltd.  (0XJ5)",*,"1.97"
"Grandview Exploration Inc.  (A2CC)",,"6.29"
"Granite Oil Corp.  (A2PJ)",,"8.64"
"Graybeard Energy Ltd.  (A1W3)",*,"1.00"
"Greenview 16, M.D. Of  (A6CE)",*,"1.00"
"Grizzly Discoveries Inc.  (A4XF)",*,"1.00"
"Grizzly Holdings Inc.  (0NJ3)",*,"0.69"
"Grizzly Oil Sands ULC  (A29X)",,"0.00"
"Grizzly Resources Ltd.  (A0TX)",,"7.50"
"Gryphon Petroleum Corp.  (A1BB)",,"2.44"
"Gulf Canada Limited  (0002)",,"1.00"
"Gunnarr Resources Inc.  (A5FY)",*,"2.51"
"Hadeed Resources Inc.  (A7G6)",,"2.73"
"Halliburton Partners Canada ULC  (A77Y)",*,"1.02"
"Halo Exploration Ltd.  (A6GH)",*,"1.00"
"Hanna Oil & Gas Company - Canada ULC  (A2BX)",,"1.13"
"Hard Rock Resources Ltd.  (0ZK3)",,"1.23"
"Hardisty Caverns Ltd.  (A04H)",*,"1.12"
"Harlech Exploration Ltd.  (0AR5)",*,"1.00"
"Harvard International Resources Ltd.  (0AF4)",,"1.84"
"Harvest Operations Corp.  (0Z0H)",,"1.98"
"HBC Energy Ltd.  (A77B)",,"1.73"
"Hell's Half-Acre Petroleum Corporation  (A5ER)",,"3.47"
"Hemisphere Energy Corporation  (A5E4)",,"5.07"
"HESC Energy Corporation  (A6R6)",,"3.14"
"Hewitt Oil (Alberta) Ltd.  (0E30)",*,"1.00"
"High Ground Energy Inc.  (A76H)",,"3.12"
"Highvale Operating Corp.  (A69T)",,"1.07"
"Hillcrest Investments Ltd.  (0A0Z)",*,"0.52"
"Hillsdale Drilling Ltd.  (0KF1)",*,"1.31"
"Hitic Energy Ltd.  (A697)",,"11.69"
"Horseshoe Bay Resources Limited  (A1FR)",,"1.17"
"Houston Oil & Gas Ltd.  (A74H)",,"1.06"
"Hua Wei Oil & Gas Ltd.  (A5H8)",*,"1.00"
"Huntington Exploration Inc.  (A1HW)",*,"1.00"
"Huron Resources Corp.  (A6YG)",,"6.83"
"Husky Oil Operations Limited  (0R46)",*,"3.74"
"Hutton Energy Ltd.  (A6H2)",*,"0.42"
"Hydrate Resources Corp.  (A7BX)",,"4.32"
"Iberdrola Canada Energy Services Ltd.  (0C6G)",,"6.52"
"Ikkuma Resources Corp.  (A5C4)",,"4.56"
"Imaginea Energy Corp.  (A6Y2)",,"1.69"
"Imperial Oil Resources Limited  (0007)",,"9.47"
"Inception Exploration Ltd.  (A600)",,"3.24"
"Incipient Exploration Ltd.  (A6MB)",,"1.33"
"Indra Oil & Gas Ltd.  (0LJ4)",,"0.69"
"Innes Oilfield Services Ltd.  (A725)",*,"1.99"
"InPlay Oil Corp.  (A6JK)",,"2.09"
"Insch Commodity Ltd.  (A771)",,"0.90"
"Insignia Energy Ltd.  (A1FX)",,"2.60"
"Inter Pipeline Ltd.  (A6LA)",,"134.47"
"International Frontier Resources Corporation  (A0P6)",*,"1.00"
