LMS - INT03,"May 05, 2018"
"Insch Commodity Ltd.  (A771)",,"0.21"
"Insignia Energy Ltd.  (A1FX)",,"3.72"
"Inter Pipeline Ltd.  (A6LA)",,"129.07"
"Inter Pipeline Propylene Ltd.  (A72F)",,"1.00"
"IPC Alberta Ltd.  (A7N1)",,"1.28"
"Iron Bridge Resources Inc.  (A1CL)",,"16.16"
"Ish Energy Ltd.  (0LN5)",,"1.05"
"Japan Canada Oil Sands Limited  (0NY5)",,"18.30"
"Jast Energy Ltd.  (A6LD)",,"1.57"
"Jaya Petroleum Ltd.  (0KR5)",*,"1.00"
"Jaycor Resources Inc.  (0HC4)",*,"2.28"
"Jayhawk Resources Ltd.  (A276)",,"3.04"
"JBS Food Canada ULC  (A6PZ)",,"1.00"
"John Lake Disposal Ltd.  (A2YA)",*,"1.00"
"Joli Fou Petroleums Ltd  (0AY2)",,"1.03"
"Jordan Energy Inc.  (A1WH)",*,"0.80"
"Joslyn Energy Development Incorporated  (A29C)",,"1.00"
"Journey Energy Inc.  (A2PH)",,"2.28"
"JRJ Energy Ltd.  (A5RH)",,"0.99"
"Jupiter Resources Inc.  (A6X1)",,"12.01"
"Just Freehold Energy Corp.  (A2N1)",,"1.17"
"K+S Windsor Salt Ltd./K+S Sel Windsor Ltee  (A6TK)",*,"1.03"
"Kaden Energy Ltd.  (A7JH)",*,"1.06"
"Kairos Resources (2011) Ltd.  (A5TJ)",*,"1.02"
"Kaisen Energy Corp.  (A7H0)",,"2.59"
"Kaiser Exploration Ltd.  (A1RN)",*,"1.01"
"Kam's Sand Coating Ltd.  (0LC7)",*,"3.66"
"Kanata Energy Group Ltd.  (A730)",,"1.96"
"Karve Energy Inc.  (A7BT)",,"1.52"
"Kasten Energy Inc.  (A5GJ)",,"1.24"
"Keek Inc.  (A1RM)",*,"1.41"
"Keles Production Company Ltd.  (0R36)",*,"1.00"
"Kelt Exploration Ltd.  (A6D7)",,"5.31"
"Kerr-Mcgee Of Canada Northwest Ltd.  (A1HX)",*,"1.64"
"Keyera Energy Ltd.  (A0C0)",,"4.28"
"Kicking Horse Oil & Gas Ltd.  (A7GG)",,"4.88"
"KinMerc Oil & Gas Inc.  (A2PZ)",,"1.34"
"Knol Resources Corp.  (A13Z)",*,"1.00"
"Knowledge Energy Inc.  (A2FG)",,"4.95"
"Koch Oil Sands Operating ULC  (A2N2)",*,"1.01"
"Komstar Resources Ltd.  (A7LZ)",*,"1.72"
"Kor Energy Inc.  (A0CB)",*,"0.27"
"Lance Exploration Corp.  (A78R)",,"1.26"
"Land Petroleum International Inc.  (0MM6)",*,"0.96"
"Laricina Energy Ltd.  (A1TY)",*,"1.00"
"Leddy Exploration Limited  (0359)",*,"1.00"
"Leucrotta Exploration Inc.  (A6XJ)",*,"1.00"
"Lexin Resources Ltd.  (0CW8)",,"0.00"
"LGX Oil + Gas Inc.  (A6D5)",*,"0.29"
"Little Rock Resources Ltd.  (A7C6)",,"1.42"
"Lochfayne Resources Ltd.  (0BM3)",*,"1.00"
"Logic Energy Ltd.  (A67B)",,"1.11"
"Long Lake Energy Ltd.  (A5MR)",,"0.61"
"Long Run Exploration Ltd.  (A517)",,"1.45"
"Long Term Asset Management Inc.  (A6JF)",,"1.97"
"Longshore Resources Ltd.  (A76W)",,"2.76"
"Luxur Resources Inc.  (A0NH)",*,"1.02"
"Lynx Energy ULC  (A7AG)",,"1.44"
"Madalena Energy Inc.  (A2K6)",,"1.00"
"Maguire Resources Ltd.  (0EK3)",*,"1.00"
"Malak Energy Inc.  (A5EA)",*,"1.70"
"Mancal Energy Inc.  (0YT7)",,"5.43"
"Manitok Energy Inc.  (A5M4)",,"2.13"
"Marathon Oil Canada Corporation  (A6EN)",,"1.00"
"Marksmen Energy Inc.  (A1RT)",*,"0.16"
"Marlboro Energy Ltd.  (A7BZ)",,"1.79"
"Marquee Energy Ltd.  (A5EB)",,"1.48"
"Mato Inc.  (0ZR6)",,"1.54"
"Maverick Resources Ltd.  (A0BY)",*,"1.00"
"Maverick Strategic Growth Fund (India) Ltd.  (A6CX)",*,"1.00"
"McLand Resources Ltd.  (A6TW)",,"1.08"
"Medicine River Oil Recyclers Ltd.  (0GZ6)",*,"1.52"
"MEG Energy Corp.  (0Z9C)",,"25.43"
"Meritage Midstream ULC  (A78K)",,"10.21"
"Methanex Corporation  (0L62)",*,"1.00"
"Mika Resources Ltd  (0M82)",*,"0.91"
"MMCII Energy ULC  (A2R0)",,"1.00"
"Modern Resources Inc.  (A6M8)",,"16.01"
"Mojek Resources Inc.  (A719)",,"1.79"
"Montana Exploration Corp.  (0A8C)",,"4.97"
"Mooncor Energy Inc.  (A2BW)",*,"1.03"
"Mount Bastion Oil & Gas Corp.  (A79R)",,"2.42"
"Mount Dakota Energy Corp.  (A1D0)",*,"0.36"
"Muddy Petroleum Company Ltd.  (0Z1K)",*,"1.08"
"Murphy Oil Company Ltd.  (0063)",,"7.51"
"N-Solv Corporation  (A78Y)",,"1.00"
"N7 Energy Ltd.  (A73N)",*,"1.16"
"Nakoda Oil and Gas Inc.  (A6TX)",,"0.91"
"NAL Resources Limited  (0TM9)",,"1.96"
"NEP Canada ULC  (A637)",,"7.25"
"New North Resources Ltd.  (0CZ4)",,"1.32"
"New Star Energy Ltd.  (A68R)",,"2.46"
"Newalta Corporation  (0DP2)",*,"2.02"
"Newpark Canada Inc.  (A71Y)",,"4.41"
"Nexen Energy ULC  (A6LC)",,"7.24"
"Nine Ring Energy Development Inc.  (A767)",,"1.00"
"Nomad Exploration Ltd.  (A6F3)",*,"2.16"
"Nor-Alta Energy Corporation  (0BD9)",*,"1.00"
"North 40 Resources Ltd.  (A7E2)",,"44.53"
"North West Redwater Holdings Corp.  (A6KE)",*,"1.00"
"Northern Alberta Oil Ltd.  (A176)",*,"1.00"
"Northern Hunter Energy Inc.  (A2CY)",*,"1.53"
"Northern Utilities (Sask.) Ltd.  (0182)",,"2.30"
"Norwegian Petroleum Inc.  (A56D)",,"0.99"
"Notine Holdings Inc.  (A778)",,"1.22"
"Nottingham Midstream Limited  (A6RN)",*,"1.00"
"Novagas Canada Ltd.  (0TA4)",*,"1.00"
"Novus Energy Inc.  (A1RY)",,"1.26"
"NuVista Energy Ltd.  (A0A7)",,"6.05"
"NVP Exploration Inc.  (A6NT)",,"4.97"
"Nyrstar Myra Falls Ltd.  (A6EH)",*,"1.00"
"Oak Resources Ltd.  (A70Z)",*,"1.00"
"OAN Resources Ltd.  (A7P0)",,"0.04"
"Obsidian Energy Ltd.  (0BP8)",,"1.76"
"Oculus Transport Ltd.  (A77M)",*,"1.00"
"Odin Capital Inc.  (0X0X)",*,"1.00"
"Ohana Resources Inc.  (A6N5)",,"1.14"
"Oil Reserve Inc.  (A625)",*,"1.00"
"Omimex Canada, Ltd.  (0P83)",*,"1.02"
"Optimal Resources Inc.  (A5Y7)",*,"1.00"
"Optimus Energy Limited  (0D84)",*,"1.00"
"ORLEN Upstream Canada Ltd.  (A2DE)",,"5.95"
"OSUM Oil Sands Corp.  (A2FJ)",*,"1.22"
"Osum Production Corp.  (A6WN)",,"31.24"
"Outlier Resources Ltd.  (A72X)",,"2.69"
"Painted Pony Energy Ltd.  (A53T)",*,"3.68"
"Palmer Ranch (1984) Ltd.  (0EW6)",*,"1.00"
"Pamoco Resources Ltd.  (A5WC)",*,"1.00"
"Panam Energy Services Ltd.  (A6CM)",,"1.70"
"Paramount Resources Ltd.  (0AW4)",,"2.84"
"Pavilion Energy Corp.  (A22M)",*,"1.37"
"Pearson Resources Ltd.  (0AN4)",*,"1.00"
"Pele Energy Inc.  (A71L)",*,"1.14"
"Pembina Gas Services Ltd.  (A5A3)",,"1.24"
"Pembina Marketing Ltd.  (A59Y)",*,"1.11"
"Pembina NGL Corporation  (A68Y)",,"7.14"
"Pengrowth Energy Corporation  (A5R5)",,"7.77"
"Pennine Petroleum Corporation  (A06M)",,"1.22"
"Perisson Petroleum Corporation  (A7MP)",,"1.11"
"Perpetual Energy Inc.  (A5KH)",,"3.48"
"Perpetual Operating Corp.  (A1WD)",,"4.96"
"Persta Resources Inc.  (A2D9)",,"40.27"
"Petenco Resources Ltd.  (0DH9)",*,"1.05"
"Petro Buyers Inc.  (A04D)",,"0.80"
"Petrocapita GP I Ltd.  (A5K8)",*,"0.93"
"Petrocapita GP II Ltd.  (A7FR)",*,"1.43"
"Petrochina Canada Ltd.  (A5LH)",,"6.19"
"PetroFrontier Corp.  (A7D1)",,"12.36"
"Petroleo Resources Inc.  (A62R)",*,"1.05"
"Petrus Resources Corp.  (A632)",,"4.65"
"Peyto Exploration & Development Corp.  (0YA2)",,"11.00"
"Pine Cliff Energy Ltd.  (A1GR)",,"1.43"
"Pipestone Oil Corp.  (A7H5)",,"19.65"
"Pismo Energy Ltd.  (A7BP)",,"1.79"
"Plains Midstream Canada ULC  (A31G)",*,"10.21"
"Pocahontas Petroleum Ltd.  (0NK3)",*,"1.00"
"Pocamc Enterprises Ltd.  (0BN7)",,"0.00"
"Point Bar Resources Inc.  (A7D0)",,"3.07"
"Point Loma Resources Ltd.  (A662)",,"0.75"
"Polar Star Canadian Oil And Gas, Inc.  (A59R)",*,"1.01"
"Postnikoff Oilfield Services Inc.  (A54J)",*,"1.00"
"Potts Petroleum Inc.  (0C9J)",,"1.57"
"Prairie Provident Resources Canada Ltd.  (0T82)",,"1.79"
"Prairie Storm Energy Corp.  (A7DF)",,"2.88"
"Prairie Thunder Resources Ltd.  (A7NA)",,"1.00"
"Precision Drilling Corporation  (0Y52)",*,"1.04"
"Precision Energy Services ULC  (A18N)",,"1.00"
"Predator Oil Ltd.  (A6CG)",,"1.30"
"Primrose Drilling Ventures Ltd.  (0FL9)",*,"1.00"
"Pritam Oil & Gas Ltd.  (A1FN)",*,"1.00"
"Pro-Pipe Service & Sales Ltd.  (A709)",*,"1.57"
"Procyon Energy Corp.  (A1NL)",*,"1.13"
"Progress Energy Canada Ltd.  (A0YZ)",*,"1.19"
"Prospect Oil & Gas Management Ltd.  (0MM8)",,"1.02"
"Prosper Petroleum Ltd.  (A2R4)",*,"1.72"
"PTTEP Canada Limited  (A6H8)",*,"1.17"
"Pulse Oil Operating Corp.  (A7BX)",,"2.25"
"Pure Environmental Waste Management Ltd.  (A7LH)",,"1.00"
"Pure Oil & Gas Co Ltd  (0T23)",*,"1.46"
"Pursuit Energy Inc.  (A0G7)",*,"1.82"
"Q'Max Solutions Inc.  (A728)",*,"1.00"
"Questerre Energy Corporation  (0L3Z)",,"4.02"
"Questfire Energy Corp.  (A5TC)",,"1.14"
"Raging Bull Energy Inc.  (A7GK)",,"0.00"
"Raging River Exploration Inc.  (A6TJ)",,"5.72"
"Raimount Energy Corp.  (A7LW)",,"0.63"
"Rally Canada Resources Ltd.  (A6EF)",,"0.76"
"Ramier Resources Ltd.  (0W91)",,"2.15"
"Rampart Oil Inc.  (A5MC)",,"20.39"
"Ranchwest Energy Ltd.  (A0WL)",*,"0.95"
"Range 3 Inc.  (A6E3)",,"0.46"
"Razor Energy Corp.  (A7DE)",,"1.26"
"Reber Exploration Ltd.  (0ME3)",*,"1.15"
"Reconn Resources Ltd.  (0ZG8)",*,"1.26"
"Recover Energy Services Inc.  (A78G)",*,"1.00"
"Red Angus Energy Inc.  (A7N7)",*,"1.29"
"Regco Petroleums Ltd.  (0FE8)",*,"0.88"
"Regnum Energy Ltd.  (A7JT)",,"2.20"
"Relentless Resources Ltd.  (A21Z)",,"2.22"
"Remedx Remediation Services Inc.  (0XW8)",*,"1.09"
"Renergy Petroleum (Canada) Co., Ltd.  (A6MG)",*,"1.00"
"Repsol Oil & Gas Canada Inc.  (0039)",,"3.25"
"Reserve Royalty GP #2 Ltd.  (A6Y0)",,"1.39"
"Resourceful Petroleum Canada Limited  (A6GN)",,"12.12"
"Response Energy Corporation  (0PG9)",,"1.80"
"Revel Resources Inc.  (A6RL)",*,"1.00"
"Revive Energy Corp  (0A7H)",,"1.38"
"Ribbon Creek Resources Inc.  (0Z3G)",,"1.84"
"Richards Oil & Gas Limited  (A1B5)",,"1.13"
"Ridal Resource Ltd.  (0TP8)",*,"1.17"
"Ridgeback Resources Inc.  (A7G2)",,"3.18"
"Ridgeway Petroleum Corp.  (0PK4)",*,"0.80"
"Rife Resources Ltd.  (0DZ7)",,"1.25"
"Rifle Shot Oil Corp.  (A71X)",,"4.48"
"Rimfire Energy Inc.  (A5NW)",,"7.81"
"Rising Star Resources Ltd.  (A7CZ)",,"1.44"
"Rivera Resources Ltd.  (A5J6)",*,"1.02"
"RJ Oil Inc.  (A723)",*,"1.00"
"RKSmith Energy Corp.  (A6TE)",,"1.24"
"Rock Star Resources Ltd.  (0RN8)",*,"1.00"
"Rockeast Energy Corp.  (A6M1)",,"9.73"
"Rockpoint Gas Storage Canada Ltd.  (A26Z)",,"11.88"
"Rockwood Resources Ltd.  (0HN5)",*,"0.03"
"Rocky Layman Energy Inc.  (0YE4)",*,"6.84"
"Rocky River Petroleum Ltd.  (A213)",*,"0.98"
"Rolling Hills Energy Ltd.  (A6W2)",,"5.15"
"RON Resources Ltd.  (A5AD)",,"1.74"
"Roswell Petroleum Corporation  (A61W)",*,"3.16"
"Rustum Petroleums (1993) Limited  (0PW3)",*,"1.00"
"Rustum Petroleums Limited  (0EK5)",,"5.64"
"Sabre Energy Ltd.  (0HZ8)",,"6.37"
"Saddlebrook Industrial Park Ltd.  (0GG3)",*,"1.00"
"Sage Oil & Gas Inc.  (0K3F)",*,"1.00"
"Sahara Energy Ltd.  (A1R3)",*,"1.37"
"Samoth Oilfield Inc.  (A56R)",*,"1.73"
"Sandpoint Resources Inc.  (0C4R)",,"5.08"
"Sanford Petroleum Ltd.  (0NA9)",,"6.06"
"SanLing Energy Ltd.  (A7AZ)",*,"0.98"
"Sansum Energy Inc.  (A7KN)",*,"2.50"
"Scavenger Energy GP Inc.  (A1R8)",*,"0.26"
"SCCC Petroleum Corporation  (A70J)",*,"1.00"
"Schlumberger Canada Limited  (0M07)",*,"1.48"
"Scollard Energy Ltd.  (A78E)",,"1.04"
"Scotia Oils Limited  (0DK9)",*,"1.00"
"Second Wave Petroleum Inc.  (A20X)",*,"0.43"
"Secure Energy Services Inc.  (A267)",*,"3.16"
"Seller's Oilfield Service Ltd.  (0M62)",*,"1.09"
"SemCAMS ULC  (A1YD)",,"1.84"
"Sequoia Operating Corp.  (A7H2)",,"1.33"
"Sequoia Resources Corp.  (0Z5F)",,"0.96"
"Serafin Resources Inc.  (0RG3)",,"4.53"
"Serinus Energy Inc.  (0WZ7)",*,"1.00"
"Seven Generations Energy Ltd.  (A54C)",,"31.66"
"Shackleton Exploration Ltd.  (0A8E)",,"7.05"
"Shale Petroleum Ltd.  (A75H)",,"1.36"
"Shanpet Resources Ltd.  (0PP7)",*,"1.09"
"Sharata Resources Limited  (0KL6)",*,"1.00"
"Shell Canada Limited  (0T03)",,"6.66"
"Shield Energy Ltd.  (A6YC)",,"5.04"
"Shiningstar Energy Ltd.  (A62Y)",,"1.65"
"Sifton Petroleum Inc.  (A727)",,"3.28"
"Signalta Resources Limited  (0R89)",,"1.38"
"Siksika Energy Resources Corporation  (0M4H)",*,"1.00"
"Silver Bay Resources Ltd.  (0KC1)",*,"1.47"
"Silver Blaze Energy Ltd.  (0KB2)",*,"0.40"
"Silver Peak Industries Ltd.  (A18E)",,"2.72"
"Sinopec Daylight Energy Ltd.  (A6GD)",,"2.59"
"Sintana Energy Inc.  (A6WR)",,"0.00"
"Sitka Exploration Ltd.  (A63R)",,"4.32"
"Softrock Minerals Ltd.  (0RY8)",*,"1.00"
"Sogar Resources Ltd.  (0NX1)",,"1.87"
"Sojourn Energy Inc.  (A5GZ)",*,"1.61"
"Sonoma Resources Ltd.  (A21P)",,"0.61"
"South Ridge Management Ltd.  (0HL7)",,"0.30"
"Spartan Energy Corp.  (0RA7)",*,"1.23"
"Spectra Energy Midstream Corporation  (A1KN)",,"1.33"
"Sphere Energy Corp.  (0WP5)",,"1.34"
"Sprocket Energy Corporation  (A7HD)",,"2.85"
"Spur Petroleum Ltd.  (A7GR)",,"6.03"
"Standard Exploration Ltd.  (A5Y5)",,"2.56"
"Starchild Energy Systems Ltd.  (0DH6)",*,"1.00"
"Statoil Canada Ltd.  (A327)",,"1.00"
"Steel Reef Infrastructure Corp.  (A6KL)",,"1.00"
"Steelhead Petroleum Ltd.  (A7J2)",,"1.55"
"Steen Resources Ltd.  (0M72)",*,"1.00"
"Steppe Petroleum Inc.  (A6NF)",*,"0.95"
"Sterling Resources Ltd.  (0RM2)",,"1.00"
"Stewart & Stevenson Canada Inc.  (A2RR)",*,"1.03"
"Stockwork Properties Ltd.  (0EN3)",*,"2.06"
"Stonewater Resources Inc.  (0TF8)",,"0.83"
"Storm Resources Ltd.  (A5MM)",*,"0.97"
"Strata Oil & Gas Inc.  (A22T)",*,"1.00"
"Strategic Oil & Gas Ltd.  (A524)",,"1.95"
"Strath Resources Ltd.  (A7GW)",,"6.26"
"Strong Energy Resources Ltd.  (A22X)",,"2.38"
"Success Energy Ltd.  (A6PL)",*,"0.59"
"Success Resources Ltd.  (A50K)",,"1.02"
"Summerland Energy Inc.  (A5MT)",,"2.15"
"Sun Century Petroleum Corporation  (0RZ4)",,"2.03"
"Suncor Energy Inc.  (0054)",*,"38.47"
"Sunshine Oilsands Ltd.  (A2TF)",,"11.43"
"Surat Energy Inc.  (0ND1)",,"1.08"
"Surge Energy Inc.  (0YK4)",,"2.45"
"Surmont Energy Ltd.  (A6CA)",,"1.00"
"Sutton Energy Ltd.  (0M9E)",*,"1.20"
"Swan Hills Synfuels Ltd.  (A31K)",*,"1.04"
"T & E Oils Ltd.  (0TW6)",*,"0.74"
"Taber Water Disposal Inc.  (0YH8)",*,"0.51"
"Taku Gas Limited  (0NG8)",,"1.05"
"Tall Pine Drilling Ltd.  (0A7C)",,"1.00"
"Tallahassee Exploration Inc.  (A7HE)",,"2.90"
"Tallahassee Resources Inc.  (A63N)",,"1.65"
"Tamarack Acquisition Corp.  (A5TT)",,"3.34"
"Tanager Energy Inc.  (A6HG)",*,"2.81"
"Tandem Energy Corporation  (A148)",*,"1.00"
"Tangle Creek Energy Ltd.  (A5WA)",,"6.99"
"Tantalus Energy Corp.  (A7MN)",,"3.22"
"TAQA North Ltd.  (A2TG)",,"2.25"
"Tayson Resources Inc.  (A7GY)",*,"0.25"
"Teck Resources Limited  (A64M)",*,"1.05"
"Teine Energy Ltd.  (A5L8)",*,"1.10"
"Tenax Energy Inc.  (A49K)",*,"0.31"
"Tenth Avenue Petroleum Corp.  (A26C)",*,"3.24"
"Tero Oilfield Services Ltd.  (0WM3)",*,"1.01"
"Tervita Corporation  (0NZ1)",*,"7.79"
"TexAlta Industries Ltd.  (A695)",*,"1.00"
"The Locke Stock & Barrel Company Ltd.  (0Z3H)",*,"1.21"
"The Paddon Hughes Development Co. Ltd.  (0D74)",*,"1.77"
"Thor Resources Inc.  (A61G)",*,"1.00"
"Thoroughbred Energy Ltd.  (A306)",,"2.90"
"Tiamat Resources Inc.  (0C8Z)",*,"1.00"
"Tians Oil Ltd.  (0L3C)",*,"1.08"
"Tidewater Midstream and Infrastructure Ltd.  (A74Y)",*,"1.52"
"TimberRock Energy Corp.  (A16J)",,"12.04
"
"Top Oil Production Ltd.  (A5N0)",,"2.21"
"Topanga Resources Ltd.  (A772)",,"0.41"
"Topeka Energy Inc.  (0FN7)",,"0.00"
"TORC Oil & Gas Ltd.  (A5RJ)",,"7.01"
"Tori Resources Inc.  (A628)",,"1.67"
"Torxen Energy Ltd.  (A7NW)",,"1.78"
"Torxen Resources Ltd.  (A7K7)",,"10.68"
"Total E&P Canada Ltd.  (0N3A)",*,"1.27"
"Tourmaline Oil Corp.  (A573)",*,"13.13"
"Tower Ridge Enterprises Corp.  (A64Y)",,"1.30"
"Town Of Smoky Lake  (0217)",*,"1.84"
"Town Of Valleyview  (0287)",*,"1.00"
"Transaction Oil & Gas Ventures Inc.  (A0DT)",*,"1.00"
"TransCanada Energy Ltd.  (0NPM)",,"8.48"
"TransGlobe Energy Corporation  (0YH6)",,"3.38"
"Traverse Energy Ltd.  (0F9L)",,"4.50"
"Tri-Ment Corporation Ltd.  (0WY2)",*,"1.04"
"TRI-PEC Resources Ltd.  (A6KA)",*,"1.00"
"Trident Exploration (Alberta) Corp.  (A663)",,"1.86"
"Trident Exploration (wx) Corp.  (A6RF)",,"1.38"
"Triple Five Intercontinental Group Ltd.  (A6WA)",,"33.60"
"Trooper Oil & Gas Limited  (0NA7)",*,"1.00"
"TWP50 Resources Ltd.  (A7LG)",*,"1.00"
"Tykewest Limited  (A1M4)",,"1.80"
"Unit 18 Corp.  (0HE4)",,"1.47"
"Valparaiso Energy Inc.  (0XG1)",*,"1.00"
"Value Creation Inc.  (A11W)",*,"1.13"
"Vantage Point Resources Inc.  (A7PA)",,"1.06"
"Velvet Energy Ltd.  (A5YK)",,"8.05"
"Venturion Oil Limited  (A6BY)",,"8.23"
"Veresen Midstream General Partner Inc.  (A734)",*,"1.02"
"Vermilion Energy Inc.  (A6FW)",,"4.38"
"Vesta Energy Ltd.  (A0L1)",,"6.78"
"Viceroy Canadian Resources Corp.  (A7P5)",,"0.00"
"View Mont Estates Ltd.  (0KM6)",*,"1.60"
"Village Of Boyle  (0385)",*,"1.00"
"Vista Resources Inc.  (0B2C)",*,"1.00"
"Vital Energy Inc.  (A6YL)",*,"2.09"
"Vulture Energy Ltd.  (A56X)",,"1.75"
"W W Becker Oil and Gas Ltd.  (0R48)",*,"1.00"
"Wabash Mfg. Inc.  (0FN6)",,"0.00"
"Warwick Gas Storage Ltd.  (A68H)",*,"0.76"
"Wescan Energy Corp.  (A590)",,"1.64"
"West Isle Energy Inc.  (0RZ8)",,"0.11"
"West Lake Energy Corp.  (A7H7)",,"1.83"
"West Star Oil & Gas Co. Ltd.  (0TW5)",*,"8.16"
"Westbrick Energy Ltd.  (A5WB)",,"18.11"
"Westdrum Energy Ltd.  (0EE3)",,"1.37"
"Westhill Resources Limited  (0T49)",,"0.96"
"White Owl Energy Services Inc.  (A70G)",*,"1.00"
"White Owl Energy Services Ltd.  (A7K8)",*,"0.91"
"White Swan Environmental Ltd.  (A6T6)",*,"1.52"
"Whitecap Resources Inc.  (A5BE)",,"5.39"
"Whitehall Energy Ltd.  (0A5Y)",,"3.22"
"Whitemud Creek Resources Ltd.  (A2KE)",,"1.09"
"Wilcox Energy Corp.  (A5YX)",,"1.43"
"Wild Rose Energy Ltd.  (A5TP)",,"0.34"
"Wildcat Rentals Ltd.  (A5EN)",*,"0.97"
"Windtalker Energy Corp.  (A5YY)",,"2.00"
"Winslow Resources Inc.  (A172)",,"1.37"
"WLA Investment Ltd.  (A65J)",,"3.84"
"Wolf Coulee Resources Inc.  (A16L)",,"1.27"
"Writers Oil & Gas Limited  (0TR5)",,"4.64"
"XS Energy Ltd.  (A707)",*,"1.00"
"XTO Energy Canada ULC  (A6GB)",,"4.14"
"Yangarra Resources Corp.  (0LN7)",,"8.29"
"Yoho Resources Inc.  (A1B6)",,"2.07"
"Zargon Oil & Gas Ltd.  (0MP9)",,"1.33"
"Zeal Energy Inc.  (A612)",,"0.69"
"ZNX Energy Ltd.  (A5B0)",,"11.81"
"Zoneda Energy Ltd.  (A62G)",*,"1.00"
* indicates security held under a Liability Management Program
